stdntid,gkschid,Z,D,gkclasssize,g1classsize,gender,race,gkfreelunch,age_kentry,gkrepeat,gkspeced,gksurban,gktreadss,gktmathss,gkreadmath,g1treadss,g1tmathss,g1readmath
11213,205490,0,0,24,24,0,0,1,7.027777672,0,0,1,403,418,821,463,584,1047
11214,203452,0,0,23,22,1,1,0,6.150000095,0,0,3,439,449,888,540,510,1050
11217,180344,0,0,24,20,1,1,0,7.002777576,0,0,4,431,463,894,512,553,1065
11219,205491,0,0,23,22,0,1,1,7.061110973,0,1,2,431,429,860,477,484,961
11220,161176,0,0,24,26,0,1,0,6.991666794,0,0,3,414,412,826,509,474,983
11234,231616,1,1,14,15,1,1,1,5.138888836,1,0,3,434,528,962,533,557,1090
11235,180344,0,0,24,22,1,1,0,6.211111069,0,0,4,NA,NA,NA,564,512,1076
11236,244806,0,0,25,22,1,0,1,7.522222042,0,0,1,428,463,891,417,441,858
11255,205491,1,1,14,17,1,1,1,6.24444437,1,0,2,447,500,947,512,545,1057
11261,209510,1,1,14,14,1,1,0,6.199999809,1,0,3,407,412,819,NA,477,NA
11267,193423,1,1,16,14,1,1,1,6.24444437,0,0,3,434,528,962,495,507,1002
11275,221571,0,0,23,24,1,1,1,6.230555534,1,0,3,388,412,800,NA,NA,NA
11300,244780,1,1,17,17,0,0,1,6.216666698,0,0,1,485,559,1044,460,481,941
11301,244799,0,0,21,20,0,0,1,6.680555344,1,1,2,NA,NA,NA,NA,529,NA
11303,168211,0,0,23,30,0,1,0,7.038888931,0,0,3,442,454,896,NA,529,NA
11305,252885,1,1,14,17,0,1,1,6.186110973,1,0,3,453,559,1012,463,488,951
11311,112038,1,1,16,17,1,1,1,6.297222137,1,0,4,413,454,867,456,512,968
11321,164198,0,0,21,23,1,1,0,6.263888836,1,1,3,390,429,819,NA,477,NA
11323,234628,0,0,22,21,1,1,0,6.266666889,1,0,3,416,506,922,507,578,1085
11324,168211,1,1,16,19,1,1,0,6.286110878,1,0,3,403,444,847,NA,NA,NA
11328,169229,0,0,24,21,1,1,0,6.25555563,0,0,2,453,473,926,488,495,983
11332,244745,1,0,15,18,0,1,0,6.75555563,0,0,2,434,489,923,468,497,965
11334,244780,0,0,23,25,0,0,1,6.777777672,0,0,1,478,547,1025,472,515,987
11352,189382,0,0,24,22,0,1,0,6.280555725,1,1,2,436,459,895,499,518,1017
11354,244776,0,0,23,22,1,0,1,5.838889122,1,0,1,433,463,896,462,465,927
11363,244801,0,0,24,25,1,0,1,6.861111164,1,0,2,421,506,927,NA,NA,NA
11369,193423,1,1,16,14,0,1,0,6.322222233,0,0,3,450,513,963,499,477,976
11379,244801,0,0,24,25,0,1,0,6.913888931,0,0,2,422,547,969,485,510,995
11382,228606,1,0,16,21,0,1,0,6.358333111,1,0,3,437,463,900,514,529,1043
11388,244727,0,1,21,13,0,0,0,6.927777767,0,0,2,421,506,927,519,515,1034
11389,244796,1,1,13,17,1,0,1,6.927777767,0,0,1,460,500,960,540,529,1069
11391,244776,1,1,15,17,1,0,1,6.866666794,1,0,1,421,506,927,448,505,953
11393,244746,1,1,16,15,1,0,1,6.933333397,0,0,1,463,536,999,536,553,1089
11394,244774,1,1,16,17,1,0,1,6.933333397,0,0,1,414,478,892,519,488,1007
11397,244727,1,1,17,18,0,0,0,6.922222137,0,0,2,450,536,986,579,592,1171
11398,244697,0,0,27,21,1,0,1,6.936110973,0,0,1,424,429,853,499,486,985
11400,244727,0,1,21,18,0,0,0,6.922222137,0,0,2,448,473,921,524,557,1081
11401,244755,1,1,15,15,0,0,1,6.936110973,0,0,1,503,576,1079,488,535,1023
11402,244774,0,0,26,24,1,0,1,6.936110973,0,0,1,440,536,976,516,532,1048
11403,244806,0,0,25,23,0,0,1,6.936110973,0,0,1,470,463,933,463,535,998
11404,244697,0,0,27,19,1,0,1,6.941666603,0,0,1,433,468,901,459,488,947
11405,244697,0,0,27,21,0,0,1,6.941666603,0,0,1,431,468,899,472,507,979
11406,244755,0,0,22,21,0,0,1,6.941666603,0,0,1,424,459,883,536,505,1041
11407,244755,0,0,22,22,0,0,1,6.944444656,0,0,1,436,459,895,471,472,943
11408,244746,0,1,19,15,1,0,1,6.944444656,0,0,1,442,444,886,438,449,887
11410,244755,1,1,16,12,1,0,1,5.949999809,0,0,1,434,506,940,499,553,1052
11411,244708,0,0,22,22,0,0,1,6.949999809,0,0,1,421,454,875,494,490,984
11413,244839,0,0,21,26,0,0,0,6.961111069,0,0,2,442,528,970,NA,NA,NA
11415,244697,1,1,16,17,1,0,1,6.958333492,0,0,1,419,463,882,492,542,1034
11417,244697,0,0,27,20,0,0,1,6.961111069,0,0,1,410,459,869,512,526,1038
11418,244806,0,0,26,21,1,0,1,6.963889122,0,0,1,461,478,939,499,518,1017
11420,244796,1,0,12,17,1,0,1,6.305555344,0,0,1,431,423,854,507,515,1022
11421,244839,0,0,23,24,0,0,0,6.977777958,0,0,2,490,602,1092,590,584,1174
11422,244708,0,0,22,25,1,0,1,6.986111164,0,0,1,388,405,793,553,567,1120
11423,244697,1,1,16,16,1,0,1,6.988888741,0,0,1,428,468,896,494,542,1036
11424,244697,0,0,27,19,1,0,1,6.961111069,0,0,1,416,439,855,463,461,924
11425,244697,0,0,27,21,0,0,1,6.986111164,0,0,1,414,484,898,469,502,971
11427,244806,0,0,25,23,0,0,1,6.972222328,0,0,1,NA,NA,NA,NA,627,NA
11428,244796,0,0,19,24,0,0,1,6.972222328,0,0,1,430,489,919,487,510,997
11430,244799,1,0,14,19,0,0,0,6.977777958,0,0,2,433,506,939,590,535,1125
11432,244806,1,1,14,15,1,0,1,6.977777958,0,0,1,425,468,893,492,512,1004
11433,244796,0,0,19,24,1,0,1,6.972222328,0,0,1,419,468,887,490,495,985
11435,244839,1,1,16,16,1,0,0,7,0,0,2,NA,NA,NA,571,578,1149
11436,244806,0,0,25,22,0,0,1,6.988888741,0,0,1,461,494,955,478,507,985
11437,244755,0,0,20,21,1,0,1,6.991666794,0,0,1,434,500,934,571,535,1106
11438,244697,0,0,27,21,0,0,1,6.99444437,0,1,1,430,513,943,530,567,1097
11439,244708,1,1,16,16,1,0,1,6.99444437,0,0,1,442,506,948,509,578,1087
11440,244799,1,1,14,16,1,0,1,6.997222424,0,0,2,422,468,890,516,529,1045
11441,244723,0,0,26,23,1,0,1,7.038888931,0,0,1,400,429,829,441,463,904
11442,244746,0,0,21,23,0,0,0,6.969444275,0,0,1,427,576,1003,564,627,1191
11443,244697,0,0,26,19,1,0,1,7.013888836,0,0,1,408,449,857,472,538,1010
11445,244755,0,0,20,23,1,0,1,6.961111069,0,0,1,458,478,936,483,523,1006
11446,244831,0,0,22,24,0,1,0,6.99444437,0,0,2,NA,444,NA,450,444,894
11447,244745,0,0,23,24,1,1,NA,6.941666603,NA,0,2,467,528,995,548,518,1066
11452,244839,0,0,23,22,0,0,0,7.022222042,0,0,2,480,602,1082,509,526,1035
11457,244776,0,0,22,25,0,0,1,7.002777576,0,0,1,467,520,987,434,493,927
11458,244801,1,1,15,17,0,1,0,7.00555563,0,0,2,445,500,945,571,538,1109
11463,244776,0,0,24,22,0,0,1,6.008333206,0,0,1,NA,NA,NA,471,474,945
11464,244746,0,0,19,23,0,0,1,7.011111259,0,0,1,447,459,906,527,584,1111
11466,244774,0,0,22,23,0,0,1,7.019444466,0,0,1,NA,NA,NA,471,486,957
11470,257899,1,1,17,15,1,1,1,6.313889027,1,1,3,405,484,889,NA,NA,NA
11471,244774,1,1,16,17,0,0,1,7.025000095,0,0,1,439,602,1041,604,584,1188
11476,244796,1,0,13,17,1,0,1,7.036110878,0,0,1,403,459,862,NA,NA,NA
11477,244727,0,0,21,21,0,0,1,7.036110878,0,0,2,433,500,933,530,549,1079
11478,244723,0,0,26,26,1,0,1,7.036110878,0,0,1,424,439,863,488,495,983
11483,123056,0,0,23,25,1,1,1,6.322222233,1,0,3,NA,NA,NA,462,490,952
11484,244780,0,0,23,25,1,0,1,7.047222137,0,0,1,470,602,1072,503,572,1075
11491,244728,0,0,17,22,0,0,1,7.055555344,0,0,1,424,473,897,501,520,1021
11492,244776,0,0,23,25,0,0,1,7.058333397,0,0,1,474,478,952,501,505,1006
11493,244708,0,0,22,25,1,0,1,7.061110973,0,0,1,414,444,858,468,468,936
11494,244774,0,0,26,26,1,0,1,7.061110973,0,0,1,395,434,829,434,484,918
11496,244697,1,1,15,17,0,0,1,7.066666603,0,0,1,461,454,915,540,526,1066
11497,244708,0,0,21,25,1,0,1,7.069444656,0,0,1,358,384,742,463,495,958
11499,161176,0,0,24,26,1,1,1,6.377777576,0,0,3,414,449,863,457,468,925
11503,244780,1,1,17,17,0,0,0,7.058333397,0,0,1,465,626,1091,439,472,911
11504,244727,1,1,17,18,1,0,1,7.061110973,0,0,2,476,513,989,579,584,1163
11505,244708,1,1,16,16,1,0,1,7.061110973,0,0,1,411,439,850,466,481,947
11506,123056,0,0,24,25,1,1,0,6.344444275,0,1,3,419,484,903,497,538,1035
11508,168214,0,0,22,25,1,1,0,6.383333206,1,0,3,439,500,939,NA,490,NA
11513,244745,0,0,28,24,0,1,1,7.066666603,0,0,2,450,478,928,439,470,909
11514,244806,0,0,25,23,0,0,1,7.072222233,0,0,1,450,576,1026,485,526,1011
11515,244697,0,0,27,21,0,0,1,7.066666603,0,0,1,397,423,820,457,465,922
11517,193422,0,0,22,25,0,1,1,6.827777863,1,0,3,424,473,897,462,512,974
11520,244799,0,0,21,20,0,0,1,7.086111069,0,0,2,430,468,898,571,532,1103
11522,244776,1,1,15,17,0,0,0,7.030555725,0,0,1,NA,NA,NA,495,510,1005
11526,244799,0,0,18,22,0,0,1,7.002777576,0,0,2,439,484,923,558,542,1100
11527,244799,0,0,21,22,1,0,1,7.041666508,0,0,2,410,489,899,483,515,998
11530,244839,0,0,21,24,0,0,0,7.016666889,1,0,2,450,536,986,590,572,1162
11536,169219,1,1,13,17,0,1,1,6.411110878,1,0,2,418,473,891,495,495,990
11537,201449,0,0,21,24,1,1,0,6.319444656,0,0,3,433,547,980,488,545,1033
11539,112038,1,1,16,17,1,0,1,6.408333302,1,0,4,402,439,841,423,458,881
11540,180344,1,1,16,16,1,1,0,6.383333206,1,0,4,407,454,861,495,520,1015
11545,189378,1,1,15,15,1,1,1,6.313889027,1,0,3,422,459,881,482,518,1000
11557,215533,1,1,17,15,1,1,1,6.413888931,1,0,3,405,473,878,425,488,913
11559,216536,0,0,24,22,0,1,0,6.36944437,1,0,3,411,454,865,457,490,947
11561,159171,0,0,24,23,1,1,1,6.308333397,1,0,3,467,489,956,465,538,1003
11573,257899,0,0,23,22,1,1,1,6.336111069,0,0,3,414,484,898,459,497,956
11577,130085,0,0,20,23,1,1,1,6.422222137,1,0,2,430,468,898,536,545,1081
11583,168214,0,0,22,23,1,1,1,6.502777576,1,0,3,NA,NA,NA,544,502,1046
11587,264945,0,0,23,26,1,1,0,6.436110973,1,0,2,408,439,847,NA,463,NA
11589,201449,1,1,15,15,1,0,1,6.452777863,1,0,3,421,449,870,NA,481,NA
11591,264945,1,1,15,17,1,1,0,6.472222328,0,0,2,439,489,928,503,490,993
11595,165199,0,0,22,22,1,1,0,6.458333492,0,0,4,507,559,1066,651,627,1278
11607,218562,0,0,17,24,1,1,0,6.341666698,0,0,4,455,576,1031,629,653,1282
11613,203452,1,1,16,17,0,1,0,6.480555534,1,0,3,391,444,835,495,481,976
11617,189382,0,0,23,22,1,1,1,6.483333111,1,1,2,405,418,823,495,512,1007
11628,215533,0,0,23,22,1,0,1,6.466666698,1,0,3,395,489,884,514,535,1049
11630,215533,0,0,23,23,0,1,1,7.074999809,0,0,3,428,500,928,483,526,1009
11633,221574,1,1,13,13,1,1,0,6.488888741,1,0,3,424,463,887,487,512,999
11634,228606,1,1,16,14,1,1,0,6.455555439,0,0,3,503,602,1105,651,612,1263
11640,228606,0,0,25,20,0,1,0,6.622222424,0,0,3,445,547,992,579,567,1146
11646,216536,0,0,22,21,0,1,1,6.452777863,1,0,3,433,463,896,480,515,995
11647,253888,1,1,13,13,0,1,1,6.469444275,1,1,3,411,444,855,NA,449,NA
11649,257899,0,0,25,23,1,1,1,6.488888741,1,0,3,408,473,881,445,479,924
11651,228606,1,0,16,21,0,1,0,6.452777863,0,0,3,447,536,983,564,612,1176
11656,112038,0,0,19,28,1,0,1,6.511111259,1,0,4,400,444,844,453,472,925
11664,166203,1,1,15,13,1,1,0,6.572222233,0,0,4,414,454,868,492,518,1010
11666,165199,0,0,22,22,0,1,0,6.552777767,1,0,4,418,459,877,507,512,1019
11669,234628,1,1,16,13,1,1,1,6.563889027,0,0,3,413,454,867,475,465,940
11672,168214,0,0,22,23,0,1,0,6.580555439,1,0,3,439,520,959,521,526,1047
11673,168214,1,1,14,17,1,1,0,6.580555439,0,0,3,NA,NA,NA,558,653,1211
11674,259915,0,0,26,24,1,1,0,6.538888931,1,0,3,451,536,987,540,532,1072
11678,264945,0,0,22,27,1,1,0,6.552777767,0,0,2,485,576,1061,558,612,1170
11681,262937,1,1,13,16,1,1,0,5.580555439,0,0,2,458,559,1017,553,545,1098
11698,193423,1,1,16,14,0,1,1,6.558333397,1,0,3,439,547,986,441,518,959
11704,221571,1,1,15,14,1,1,0,6.583333492,1,0,3,402,412,814,430,444,874
11705,225585,0,0,23,26,1,1,0,6.519444466,1,0,3,439,536,975,NA,472,NA
11708,234628,0,0,23,21,1,1,1,6.563889027,0,0,3,403,444,847,536,529,1065
11722,112038,0,0,19,28,1,0,0,6.644444466,1,0,4,407,463,870,436,461,897
11725,128079,0,0,21,20,1,1,1,6.633333206,1,1,3,416,484,900,NA,532,NA
11733,123056,1,1,17,19,1,1,1,6.61944437,0,0,3,413,444,857,469,510,979
11739,169229,0,0,22,21,1,0,1,6.61944437,1,0,2,413,423,836,417,449,866
11742,169229,0,0,22,21,1,1,0,6.658333302,1,0,2,451,473,924,474,502,976
11744,169229,0,0,24,20,1,1,0,6.666666508,1,0,2,436,468,904,490,505,995
11750,189378,1,1,15,15,1,1,0,6.511111259,1,1,3,405,434,839,456,441,897
11763,215533,0,0,23,23,1,1,0,6.658333302,0,0,3,400,439,839,499,557,1056
11769,221574,0,0,20,21,1,1,0,6.63055563,1,0,3,410,423,833,465,477,942
11784,193422,0,0,22,26,1,1,0,6.658333302,1,0,3,461,513,974,548,542,1090
11787,168211,0,0,24,29,0,0,1,7,0,0,3,433,478,911,NA,507,NA
11790,123056,1,1,17,19,1,1,1,6.719444275,1,1,3,NA,NA,NA,471,526,997
11793,128076,0,0,23,21,1,1,0,6.730555534,0,0,2,413,399,812,426,446,872
11795,164198,0,0,21,23,1,1,0,6.666666508,0,0,3,447,520,967,505,553,1058
11804,168211,1,1,16,19,1,1,1,6.611111164,1,1,3,NA,NA,NA,NA,NA,NA
11815,216536,1,1,17,14,1,1,0,6.705555439,0,0,3,425,500,925,530,545,1075
11817,169219,0,1,22,17,0,1,0,6.719444275,0,0,2,476,536,1012,604,653,1257
11820,221574,1,1,13,13,0,1,0,6.736111164,0,0,3,428,459,887,492,520,1012
11829,203452,0,0,21,24,1,1,0,6.730555534,1,0,3,580,576,1156,651,627,1278
11831,189382,0,0,23,22,1,1,0,6.669444561,1,1,2,461,489,950,544,535,1079
11832,205491,0,0,23,18,1,1,0,6.697222233,1,0,2,418,520,938,507,567,1074
11833,201449,0,0,22,25,0,0,1,6.680555344,1,0,3,407,405,812,NA,449,NA
11843,203452,1,1,16,17,1,1,1,6.741666794,1,0,3,410,454,864,548,553,1101
11848,208501,0,1,22,17,0,1,0,6.644444466,0,0,3,NA,NA,NA,485,529,1014
11856,215533,0,0,24,23,0,1,0,6.680555344,0,0,3,492,559,1051,553,572,1125
11865,193422,1,1,16,18,1,1,0,6.74444437,0,0,3,483,559,1042,590,584,1174
11869,221571,1,1,15,15,1,0,1,6.705555439,0,0,3,397,439,836,454,456,910
11870,209510,1,1,14,14,1,1,0,6.711111069,0,0,3,430,489,919,590,529,1119
11871,221571,0,0,21,24,0,1,1,6.74444437,1,0,3,405,399,804,474,490,964
11875,228606,0,0,24,22,0,1,0,6.691666603,1,0,3,427,478,905,530,584,1114
11876,162184,1,1,12,14,1,1,1,6.711111069,1,0,3,405,513,918,494,572,1066
11883,244799,0,1,18,16,1,0,0,5.666666508,0,0,2,425,463,888,571,545,1116
11886,244776,1,1,17,17,1,0,1,6.666666508,0,0,1,453,528,981,NA,526,NA
11891,257899,0,0,25,22,0,1,1,6.716666698,1,0,3,439,506,945,477,465,942
11892,257899,1,1,17,13,1,1,0,6.719444275,0,1,3,419,478,897,524,553,1077
11899,221574,0,0,19,21,1,0,0,6.724999905,1,0,3,428,468,896,468,497,965
11901,221574,0,0,20,22,1,1,1,6.775000095,1,0,3,419,468,887,509,523,1032
11902,166203,0,0,25,21,1,1,1,6.797222137,0,0,4,439,454,893,469,502,971
11907,130085,1,1,13,17,1,1,0,6.786110878,0,0,2,483,602,1085,590,653,1243
11910,164198,0,0,21,23,1,1,1,6.738888741,1,1,3,398,439,837,NA,481,NA
11914,164198,1,1,13,13,0,1,0,6.786110878,0,0,3,470,576,1046,564,553,1117
11916,165199,0,0,22,22,0,1,0,6.788888931,0,0,4,443,547,990,527,567,1094
11917,164198,0,0,21,23,1,0,1,6.758333206,0,1,3,421,449,870,NA,502,NA
11919,165199,1,1,13,14,1,1,0,6.797222137,0,0,4,476,576,1052,564,601,1165
11920,165199,1,1,13,14,1,1,0,6.802777767,0,0,4,474,536,1010,558,612,1170
11926,169219,0,0,22,22,1,1,0,6.758333206,0,0,2,490,528,1018,571,572,1143
11927,262937,1,1,14,16,1,1,0,6.758333206,0,0,2,497,602,1099,629,592,1221
11934,169219,1,1,13,17,0,1,1,6.777777672,1,0,2,453,602,1055,507,612,1119
11937,169229,0,0,22,20,1,1,0,6.786110878,0,0,2,465,559,1024,604,653,1257
11938,169231,1,1,15,14,1,1,1,6.788888931,0,0,1,395,418,813,428,477,905
11939,244839,1,1,15,16,1,1,0,6.991666794,0,0,2,448,528,976,604,627,1231
11940,264945,1,1,15,17,1,1,0,6.791666508,0,0,2,468,528,996,651,578,1229
11944,169229,0,0,24,20,1,0,1,6.794444561,0,0,2,405,494,899,487,500,987
11946,221574,0,0,20,22,0,1,0,6.797222137,0,0,3,456,489,945,540,538,1078
11948,169219,0,0,22,22,0,1,0,6.802777767,0,0,2,476,520,996,553,601,1154
11949,216536,0,0,22,24,1,1,0,6.805555344,0,0,3,439,500,939,501,578,1079
11952,201449,0,0,22,25,1,1,0,6.816666603,0,0,3,437,528,965,553,572,1125
11956,169280,0,0,22,25,0,1,0,6.669444561,0,0,2,440,484,924,651,572,1223
11957,169229,1,1,17,17,1,1,1,5.733333111,1,0,2,430,473,903,456,449,905
11959,201449,0,0,22,24,1,1,0,6.797222137,0,0,3,422,506,928,530,557,1087
11961,180344,1,1,16,16,0,1,0,6.802777767,0,0,4,453,528,981,629,592,1221
